2019-01-31 08:47:58,b'RT @BIZBoost: This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full #recovery a\xe2\x80\xa6'
2019-01-31 08:42:03,b'This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full\xe2\x80\xa6 https://t.co/RQhPKhKQYi'
2019-01-30 22:36:03,"b'Rosie, being herself. She loves the snow! #dogs, #dogsarethebest, #weratedogs, #dogsofinstagram, https://t.co/nG7WRq7VLL'"
2019-01-30 22:29:39,"b'RT @JamesonCocker: This is the face I make when it\xe2\x80\x99s 515am and I didn\xe2\x80\x99t get fed at 5am like I expected. Why Linda, why?...\nWho else has str\xe2\x80\xa6'"
2019-01-30 16:43:07,"b'OMh*ck, this puppet face made my day. Stay strong, Doggo! I sense treats in your future. #weratedogs\xe2\x80\xa6 https://t.co/QUwAhrgCzx'"
2019-01-30 13:41:47,b'Hunting in the woods #doglife #petlove #pet #mansbestfriend #jackrussellbeagle #dogsofinstagram #weratedogs #winter\xe2\x80\xa6 https://t.co/LiiJjoG6mx'
2019-01-30 08:36:28,b'RT @TheSoulfulEMU: This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full #recov\xe2\x80\xa6'
2019-01-30 07:47:45,b'RT @TheSoulfulEMU: This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full #recov\xe2\x80\xa6'
2019-01-30 07:38:31,b'RT @TheSoulfulEMU: This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full #recov\xe2\x80\xa6'
2019-01-30 07:37:02,b'This is Todd. He saved his human from a #rattlesnake yesterday. A true h*ckin #hero. He\xe2\x80\x99s expected to make a full\xe2\x80\xa6 https://t.co/s4sk5SA0de'
2019-01-30 04:34:56,"b'RT @JamesonCocker: This is the face I make when it\xe2\x80\x99s 515am and I didn\xe2\x80\x99t get fed at 5am like I expected. Why Linda, why?...\nWho else has str\xe2\x80\xa6'"
2019-01-29 23:04:06,"b'This is the face I make when it\xe2\x80\x99s 515am and I didn\xe2\x80\x99t get fed at 5am like I expected. Why Linda, why?...\nWho else ha\xe2\x80\xa6 https://t.co/MQ0hj1yr0a'"
2019-01-29 03:02:42,b'My partner in crime. Rescued this sweetie almost 7 years ago! \n#DogsAreBetterThanPeople #AdoptDontShop #Puppies\xe2\x80\xa6 https://t.co/ZSjsnVVNpr'
2019-01-28 15:49:35,b'Cheerios are good for my girl... #cheerios #labradorretriever #dog #dogsofinstagram #weratedogs https://t.co/y10TwlsUa3'
2019-01-28 01:19:43,b'RT @HereToComplain5: Making it difficult to #konmari fold\n\n#konmarifolding\n#weratedogs\n#puppy\n#yorkiechon\n#konmarimethod https://t.co/oUT1T\xe2\x80\xa6'
2019-01-28 00:14:04,b'Making it difficult to #konmari fold\n\n#konmarifolding\n#weratedogs\n#puppy\n#yorkiechon\n#konmarimethod https://t.co/oUT1Toztm5'
2019-01-27 14:28:45,b'Weekend naps \xf0\x9f\x98\xb4 .\n.\n.\n.\n.\n#humphreythepyr #greatpyrenees #greatpyreneesofinstagram #pyreneanmountaindog\xe2\x80\xa6 https://t.co/GD6EYVXKq2'
2019-01-27 14:22:56,b'All cosy for @rspb_love_nature #biggardenbirdwatch \xf0\x9f\x90\xa6\xf0\x9f\x90\xa4\xf0\x9f\x90\xa5\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#dachshundoftheday #dachshundsdaily #dachshunds #dog\xe2\x80\xa6 https://t.co/Q6d39WUhwA'
2019-02-06 02:43:46,b'BARK-caso\nMixed media and acrylic \n3D painting of a painting dog\n.\n.\n.\n#dmfordetails #dm #forsale #dogs\xe2\x80\xa6 https://t.co/1Npd9njSXK'
